timestamp,name,device_name,hit_score,speed,hit_accuracy,hit_ratio,hit_factor
2024-06-02 14:39:02,GUEST,PICO-04,124.0,5.684000000000001,0.9021059,0.875,23.004891
2024-06-03 10:45:40,1003,PICO-06,116.0,6.654000000000001,0.9484728,0.0,19.237048
2024-06-03 10:46:01,1008,PICO-02,102.0,5.4106250000000005,0.9559523,0.0,18.3681326
2024-06-03 10:50:00,1002,PICO-04,20.0,6.653874999999999,0.6151596,0.0,4.56986913
2024-06-04 11:13:46,4002,PICO-04,79.0,6.924625,0.8852648,0.0,13.628970599999999
2024-06-04 11:32:28,2003,PICO-02,92.0,6.656375000000001,0.9006482,1.0,18.7060335
2024-06-04 11:42:33,1006,PICO-06,90.0,6.220625,0.8689119,0.0,19.2441757
2024-06-04 11:45:49,4003,PICO-04,51.0,5.314875,0.8523623,0.0,10.624647
2024-06-04 11:53:37,2004,PICO-02,85.0,5.996,0.907936,0.0,21.1357551
2024-06-04 12:15:31,2005,PICO-02,91.0,4.65275,0.9228894,0.0,28.279113
2024-06-04 12:24:37,4004,PICO-04,90.0,6.210624999999999,0.913792,1.0,21.7514633
2024-06-04 13:31:46,4005,PICO-04,74.0,5.97,0.8543288,0.0,19.8617359
2024-06-04 13:39:27,2006,PICO-02,64.0,6.852,0.6780226,0.0,10.715341299999999
2024-06-04 14:00:39,4006,PICO-04,70.0,5.55475,0.7405229,0.0,14.027641999999998
2024-06-04 14:03:06,4006,PICO-04,88.0,4.72375,0.9747928,0.0,24.040889000000004
2024-06-04 14:22:42,4007,PICO-04,91.0,7.629625,0.946712,0.8333333,15.106231800000002
2024-06-04 14:27:37,2008,PICO-02,92.0,6.657875,0.8515687,0.0,20.8108594
2024-06-04 14:31:10,1008,PICO-06,84.0,6.489375000000001,0.9434583,0.0,18.0938676
2024-06-04 14:54:30,1009,PICO-06,70.0,6.122875,0.7534434,0.0,15.8061968
2024-06-04 15:03:22,2009,PICO-02,84.0,6.613375,0.9579305,0.0,18.580371000000003
2024-06-04 15:04:23,1010,PICO-06,83.0,4.568,0.7719841,0.0,23.107816
2024-06-04 15:06:29,2009,PICO-02,112.0,6.913875,0.9597266,0.0,18.702180000000002
2024-06-05 09:57:16,1012,PICO-06,31.0,6.317374999999999,0.6008467,0.0,6.766863799999999
2024-06-05 09:59:20,4009,PICO-04,69.0,5.812625,0.9822944,0.0,19.102379000000003
